Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
,,"F_Schlick(float,class vector<float,3>)","path_tracer_core.hlsl:414""""path_tracer_core.hlsl:435""""path_tracer_core.hlsl:471""""path_tracer_core.hlsl:523""""path_tracer_core.hlsl:565""""path_tracer_core.hlsl:615""""path_tracer_core.hlsl:624""""path_tracer_core.hlsl:658""""path_tracer_core.hlsl:683""""path_tracer_core.hlsl:705""""path_tracer_core.hlsl:777""""path_tracer_core.hlsl:845""""path_tracer_core.hlsl:868",126,0.0034358937196860466,0.0034358937196860466,,14270.91377228225,LGSB,0.4990909090909091,NOINST,SHRTSB,198,174751,0,0,0,0
,,"combine_gi_reservoirs(struct GI_Reservoir,struct GI_Reservoir,float,struct RNG)","path_tracer_core.hlsl:661""""path_tracer_core.hlsl:698",124,0.0021380629555682717,0.0021380629555682717,,8881.207816280752,LGSB,0.6886778670562455,NOINST,WAIT,72,80382,0,0,0,0
,,[Self: combine_gi_reservoirs],--,124,0,0.001083087406637397,,4498.990226874143,LGSB,0.695746214852199,NOINST,WAIT,28,75779,0,0,0,0
,,"update_gi_reservoir(struct GI_Reservoir,class vector<float,3>,class vector<float,3>,float,struct RNG)",restir_lib.hlsl:121,124,0.0010549755489308748,0.0010549755489308748,,4382.217589406609,LGSB,0.6814211695040711,WAIT,NOINST,54,4603,0,0,0,0
,,[Self: update_gi_reservoir],--,124,0,0.000966110843180813,,4013.0863076342384,LGSB,0.744099579696088,NOINST,WAIT,54,4603,0,0,0,0
,,next_float(struct RNG),restir_lib.hlsl:104,123,8.886470575006185e-05,8.886470575006185e-05,,369.1312817723702,WAIT,0.6344463971880492,SELECT,NOINST,19,,0,0,0,0
,,pcg_hash(unsigned int),random_lib.hlsl:36,123,7.621436978212686e-05,7.621436978212686e-05,,316.5835949119801,WAIT,0.6475409836065574,SELECT,NOINST,19,,0,0,0,0
,,[Self: next_float],--,123,0,1.265033596793499e-05,,52.54768686039012,WAIT,0.5555555555555556,SELECT,NOTSEL,9,,0,0,0,0
,,"unpack_reservoir(class vector<float,4>)","path_tracer_core.hlsl:450""""path_tracer_core.hlsl:497",123,0.0018155574768795588,0.0018155574768795588,,7541.5661697782125,LGSB,0.9862365591397849,WAIT,SELECT,2,0,0,0,0,0
,,"SampleLambert(class vector<float,2>,class vector<float,3>)","path_tracer_core.hlsl:626""""path_tracer_core.hlsl:877""""path_tracer_core.hlsl:889",126,0.0016390774812775027,0.0016390774812775027,,6805.249816857931,NOINST,0.2766079085278704,WAIT,SHRTSB,545,3365,0,0,0,0
